id,category,difficulty,question,hallucination_check,expected_dieu,expected_keywords,expected_nodes,ground_truth,notes
1,Điểm số và Học phần,easy,Điểm liệt là bao nhiêu?,,Điều 5,"dưới 5, đồ án tốt nghiệp, dưới 3, điểm F, liệt","Điểm liệt, Điểm học phần","Điểm liệt là điểm dưới 5 đối với học phần đồ án tốt nghiệp/khóa luận tốt nghiệp cử nhân và đồ án tốt nghiệp kỹ sư. Đối với các học phần khác, điểm liệt là dưới 3. Khi có điểm liệt, điểm học phần là F.",Phải phân biệt 2 trường hợp: ĐATN và học phần thường
2,Điểm số và Học phần,easy,Thang điểm chữ trong quy chế ĐHBK là gì?,,Điều 5,"F, D, C, B, A, thang 4, thang 10",Thang điểm chữ,"Thang điểm: F(0-3.9/0đ), D(4-4.9/1đ), D+(5-5.4/1.5đ), C(5.5-6.4/2.0đ), C+(6.5-6.9/2.5đ), B(7-7.9/3.0đ), B+(8-8.4/3.5đ), A(8.5-9.4/4.0đ), A+(9.5-10/4.0đ).",Phải liệt kê đầy đủ 9 mức điểm chữ
3,Điểm số và Học phần,easy,GPA và CPA khác nhau như thế nào?,,Điều 7,"GPA, CPA, học kỳ, từ đầu khóa, thang 4, trọng số","Điểm TB học kỳ (GPA), Điểm TB tích lũy (CPA)","GPA (Điểm trung bình học kỳ) là trung bình có trọng số của các học phần trong một học kỳ. CPA (Điểm trung bình tích lũy) là trung bình có trọng số của tất cả học phần từ đầu khóa. Cả hai đều tính theo thang 4, làm tròn 2 chữ số thập phân.",Phải phân biệt rõ GPA (kỳ) vs CPA (tích lũy)
4,Điểm số và Học phần,medium,Điểm quá trình bị ảnh hưởng như thế nào khi vắng mặt?,,Điều 5,"0 lần, +1, 1-2 lần, 3-4 lần, -1, 5 lần, -2","Điểm quá trình, Vắng mặt ảnh hưởng điểm","Kết quả điểm danh ảnh hưởng điểm quá trình: vắng 0 lần được cộng +1 điểm, vắng 1-2 lần không thay đổi (0), vắng 3-4 lần bị trừ -1 điểm, vắng từ 5 lần trở lên bị trừ -2 điểm.",Phải đủ 4 mức vắng mặt
5,Điểm số và Học phần,medium,"Điểm I, X, R, P, W có ý nghĩa gì?",,Điều 5,"I, X, R, P, W, không tính, điểm trung bình","Điểm I, Điểm X, Điểm R, Điểm P, Điểm W",I: hoãn thi đúng quy định; X: thiếu dữ liệu đánh giá; R: miễn học công nhận TC; P: chỉ yêu cầu đạt/không đạt; W: rút đăng ký học phần. Tất cả không quy đổi thành điểm số để tính điểm trung bình.,Phải giải thích đủ 5 loại điểm đặc biệt
6,Điểm số và Học phần,medium,Trọng số điểm cuối kỳ và điểm quá trình là bao nhiêu?,,Điều 5,"0.5, 0.8, cuối kỳ, trọng số, 2 TC, đề cương","Điểm cuối kỳ, Điểm quá trình",Học phần từ 2 TC trở lên: điểm cuối kỳ có trọng số 0.5 đến 0.8 (theo đề cương chi tiết). Học phần dưới 2 TC có thể chỉ điểm cuối kỳ hoặc kết hợp cả hai.,Phải nêu ngưỡng 0.5-0.8 và điều kiện HP>=2TC
7,Điểm số và Học phần,hard,Học phần tiên quyết khác học phần học trước như thế nào?,,Điều 4,"tiên quyết, điểm đạt, học trước, chưa đạt, song hành, đồng thời","Học phần tiên quyết, Học phần học trước, Học phần song hành",Tiên quyết: phải hoàn thành A với điểm ĐẠT mới được học B. Học trước: chỉ cần đã đăng ký và học xong A (có thể chưa đạt) mới được học B. Song hành: phải học A trước hoặc đồng thời với B.,Phải phân biệt rõ 3 loại điều kiện tham dự
8,Điểm số và Học phần,medium,Có thể học lại học phần đã đạt để cải thiện điểm không?,,Điều 5,"học lại, điểm đạt, cao nhất, CPA, tương đương, 70%","Cải thiện điểm, Học phần tương đương",Được phép đăng ký học lại học phần đã có điểm đạt để cải thiện CPA. Điểm lần cao nhất được công nhận là điểm chính thức. Có thể học học phần tương đương (nội dung trùng ≥70%) để thay thế.,Phải đề cập cả 2 cách: học lại và học HP tương đương
9,Đăng ký học tập,easy,Một học kỳ chính đăng ký tối đa bao nhiêu tín chỉ?,,Điều 10,"24, 12, tối đa, tối thiểu, kỳ chính, 8 TC, kỳ hè",Số tín chỉ đăng ký tối đa tối thiểu mỗi học kỳ,"Sinh viên đại học không bị cảnh báo: tối đa 24 TC, tối thiểu 12 TC/kỳ chính. Sinh viên năm cuối không áp dụng tối thiểu. Học kỳ hè tối đa 8 TC. Học viên kỹ sư: 12-24 TC/kỳ. Thạc sĩ chính quy: tối đa 24 TC/kỳ, 45 TC/năm.",Phải nêu cả tối đa 24 và tối thiểu 12 TC
10,Đăng ký học tập,medium,Quy trình đăng ký học tập gồm mấy giai đoạn?,,Điều 10,"3 giai đoạn, đăng ký học phần, đăng ký lớp, điều chỉnh, 2 đợt","Đăng ký học tập, Giai đoạn 1, Giai đoạn 2, Giai đoạn 3",Gồm 3 giai đoạn: (1) Đăng ký học phần: chọn HP dự tính học kỳ tiếp; (2) Đăng ký lớp chính thức: chọn lớp học; (3) Điều chỉnh đăng ký: chuyển/hủy/đăng ký bổ sung. Mỗi kỳ chính có 2 đợt điều chỉnh.,Phải liệt kê đủ 3 giai đoạn
11,Đăng ký học tập,medium,Điều kiện mở lớp học phần rút gọn là gì?,,Điều 10,"2 lần, chưa đạt, điểm quá trình, ≥2, năm 3, 50%",Lớp học phần rút gọn,"Điều kiện mở lớp rút gọn: (1) Sinh viên đã học HP đó ít nhất 2 lần chưa đạt; (2) Điểm quá trình ≥2 trong lần gần nhất; (3) Đạt trình độ năm 3 trở lên (≥64 TCTL). Thời lượng ≥50% bình thường, học phí = 50%.",Phải đủ 3 điều kiện đồng thời
12,Đăng ký học tập,easy,Tối thiểu bao nhiêu sinh viên mới mở được lớp học phần?,,Điều 10,"20 sinh viên, 5, 19, đồ án môn học, ĐATN",Điều kiện mở lớp học phần,Tối thiểu 20 sinh viên mới mở lớp. Ngoại lệ: 5-19 SV xem xét mở theo đề nghị (áp dụng hệ số học phí). Dưới 5 SV học lại: mở dạng đồ án môn học nếu đã hoàn thành ĐATN.,"Phải nêu 3 mức: <5, 5-19, ≥20"
13,Cảnh báo học tập,easy,Cảnh báo học tập là gì và có mấy mức?,,Điều 19,"3 mức, mức 1, mức 2, mức 3, 8, 16, 24, không xét kỳ hè","Cảnh báo học tập là gì, Cảnh báo mức 1, Cảnh báo mức 2, Cảnh báo mức 3","Cảnh báo học tập là hình thức xử lý SV có kết quả yếu kém, xét cuối mỗi kỳ chính (không xét kỳ hè). Có 3 mức: Mức 1 (TC không đạt>8), Mức 2 (TC không đạt>16 hoặc bỏ học), Mức 3 (TC nợ đọng>24 từ đầu khóa).",Phải nêu đủ 3 mức và ngưỡng cụ thể
14,Cảnh báo học tập,medium,Làm thế nào để hạ mức cảnh báo học tập?,,Điều 19,"≤4, hạ 1 mức, mức 3, ≤24, nợ đọng, về mức 2",Điều kiện hạ mức cảnh báo học tập,Mức 1 và 2: số TC không đạt trong kỳ ≤4 thì hạ 1 mức. Mức 3: TC nợ đọng từ đầu khóa ≤24 thì hạ về mức 2 (không phụ thuộc điều kiện nâng mức).,Phải phân biệt cách hạ mức 1/2 và mức 3
15,Cảnh báo học tập,hard,Cảnh báo mức 3 dẫn đến hậu quả gì?,,Điều 19,"hạn chế, 8, 14 TC, 18 TC, lần thứ 2, liên tiếp, buộc thôi học","Hậu quả cảnh báo, Hạn chế khối lượng học tập, Buộc thôi học","Cảnh báo mức 3 dẫn đến: bị hạn chế khối lượng học tập (CT chuẩn: 8-14 TC, ELITECH: 8-18 TC). Nếu bị cảnh báo mức 3 lần thứ 2 liên tiếp sẽ bị buộc thôi học.",Graph traversal phải tìm được node buộc thôi học
16,Cảnh báo học tập,medium,Sinh viên bị cảnh báo học tập thì đăng ký được tối đa bao nhiêu TC?,,Điều 19,"14 TC, 18 TC, 8 TC, mức 2, ELITECH, CT chuẩn, HK1",Hạn chế khối lượng học tập khi bị cảnh báo,"Sinh viên cảnh báo mức 2 trở lên bị hạn chế tại HK1 của năm học: CT chuẩn tối đa 14 TC, tối thiểu 8 TC. ELITECH và CT hợp tác quốc tế tối đa 18 TC, tối thiểu 8 TC.",Phải phân biệt CT chuẩn và ELITECH
17,Tốt nghiệp Đại học,easy,Điều kiện tốt nghiệp đại học gồm những gì?,,Điều 14,"CPA, 2.0, ngoại ngữ, Thể chất, QPAN, hình sự, đình chỉ","Điều kiện tốt nghiệp cử nhân, Chuẩn ngoại ngữ đầu ra",4 điều kiện: (1) Hoàn thành đủ HP CTĐT trong thời gian quy định (kể cả Thể chất và QPAN); (2) Đạt chuẩn ngoại ngữ đầu ra; (3) CPA toàn khóa ≥2.0; (4) Không bị truy cứu hình sự hoặc đang bị kỷ luật đình chỉ học tập.,"Phải đủ 4 điều kiện, đặc biệt CPA>=2.0"
18,Tốt nghiệp Đại học,medium,ĐHBK xét tốt nghiệp mấy đợt mỗi năm và thời hạn cấp bằng?,,Điều 14,"3 đợt, kỳ chính, kỳ hè, 3 tháng",Xét tốt nghiệp đại học,ĐHBK xét tốt nghiệp 3 đợt/năm: cuối mỗi kỳ chính và cuối kỳ hè. Cấp bằng trong 3 tháng từ khi SV đáp ứng đủ điều kiện và hoàn thành nghĩa vụ.,Phải nêu cả 3 đợt và thời hạn 3 tháng
19,Tốt nghiệp Đại học,medium,Hạng tốt nghiệp bị giảm khi nào?,,Điều 15,"5%, học lại, kỷ luật, cảnh cáo, giảm 1 mức, giỏi, khóa 2022","Hạng tốt nghiệp cử nhân, Điều kiện giảm hạng tốt nghiệp",Hạng TN giỏi trở lên bị giảm 1 mức khi: (a) Học lại >5% tổng TC HP dùng tính điểm TB toàn khóa (không tính HP cải thiện); (b) Bị kỷ luật từ cảnh cáo trở lên trong CT ĐH. Áp dụng từ khóa 2022.,Phải nêu cả 2 trường hợp giảm hạng
